category,region,source_name,source_url,source_domain,fetch_result,collection_action,notes
PROVINCIAL_CIVIL_SERVICE,安徽,安徽公务员考试官方来源档案,https://www.apta.gov.cn/,www.apta.gov.cn,EMPTY,NEEDS_REVIEW,无可解析正文
PROVINCIAL_CIVIL_SERVICE,福建,福建公务员考试官方来源档案,http://gwykl.fujian.gov.cn,gwykl.fujian.gov.cn,UNSAFE_HTTP,MANUAL_ONLY,官方目录仍为HTTP，未降级绕过安全策略
PROVINCIAL_CIVIL_SERVICE,江西,江西公务员考试官方来源档案,http://www.jxpta.com/,www.jxpta.com,UNSAFE_HTTP,MANUAL_ONLY,HTTP来源未进入自动采集
PROVINCIAL_CIVIL_SERVICE,山东,山东公务员考试官方来源档案,https://gwy.sdrsks.org.cn/skbm2026.html,gwy.sdrsks.org.cn,UNSAFE_OPEN,MANUAL_ONLY,当前访问工具判定链接不安全
PROVINCIAL_CIVIL_SERVICE,河南,河南公务员考试官方来源档案,https://www.hnrsks.com/,www.hnrsks.com,TIMEOUT,MANUAL_ONLY,请求超时
PROVINCIAL_CIVIL_SERVICE,湖北,湖北公务员考试官方来源档案,https://rst.hubei.gov.cn/hbrsksw/,rst.hubei.gov.cn,OK,RAW_ONLY,当前内容为2026省考及事业单位等项目
PROVINCIAL_CIVIL_SERVICE,湖南,湖南公务员考试官方来源档案,https://rst.hunan.gov.cn/rst/hnrsksw/c103103/gwy2026/rskswlist.html,rst.hunan.gov.cn,OK,RAW_ONLY,当前页面为2026年度栏目
PROVINCIAL_CIVIL_SERVICE,广东,广东公务员考试官方来源档案,https://www.gdzz.gov.cn/,www.gdzz.gov.cn,OK,RAW_ONLY,未确认当前2027报名公告
PROVINCIAL_CIVIL_SERVICE,广西,广西公务员考试官方来源档案,https://www.gxpta.com.cn/,www.gxpta.com.cn,EMPTY,NEEDS_REVIEW,访问结果无正文
PROVINCIAL_CIVIL_SERVICE,海南,海南公务员考试官方来源档案,https://ea.hainan.gov.cn/ywdt/gwyks/,ea.hainan.gov.cn,EMPTY,NEEDS_REVIEW,访问结果无正文
PROVINCIAL_CIVIL_SERVICE,重庆,重庆公务员考试官方来源档案,https://rlsbj.cq.gov.cn/ztzl/zqs2020ndkslygwyzl/,rlsbj.cq.gov.cn,EMPTY,NEEDS_REVIEW,访问结果无正文
PROVINCIAL_CIVIL_SERVICE,四川,四川公务员考试官方来源档案,https://www.scpta.com.cn/front/Special/Info/85887d50aadf43f491088f4a9106c647,www.scpta.com.cn,ERROR,MANUAL_ONLY,访问工具返回内部错误
PROVINCIAL_CIVIL_SERVICE,贵州,贵州公务员考试官方来源档案,https://www.gzrsks.com.cn/,www.gzrsks.com.cn,TIMEOUT,MANUAL_ONLY,请求超时
PROVINCIAL_CIVIL_SERVICE,云南,云南公务员考试官方来源档案,https://ylxf.1237125.cn/TopicWeb/ynskslygwy/index.html,ylxf.1237125.cn,TIMEOUT,MANUAL_ONLY,请求超时
PROVINCIAL_CIVIL_SERVICE,西藏,西藏公务员考试官方来源档案,https://hrss.xizang.gov.cn/xwzx/tzgg/202512/t20251202_512168.html,hrss.xizang.gov.cn,OK,RAW_ONLY,2026公告已结束，职位数475
PROVINCIAL_CIVIL_SERVICE,陕西,陕西公务员考试官方来源档案,https://www.sxrsks.cn/,www.sxrsks.cn,EMPTY,NEEDS_REVIEW,无可解析正文
PROVINCIAL_CIVIL_SERVICE,甘肃,甘肃公务员考试官方来源档案,https://www.gszg.gov.cn/,www.gszg.gov.cn,ERROR,MANUAL_ONLY,访问工具返回内部错误
PROVINCIAL_CIVIL_SERVICE,青海,青海公务员考试官方来源档案,https://www.qhpta.com/,www.qhpta.com,ERROR,MANUAL_ONLY,访问工具返回内部错误
PROVINCIAL_CIVIL_SERVICE,宁夏,宁夏公务员考试官方来源档案,https://www.nxpta.com/,www.nxpta.com,ERROR,MANUAL_ONLY,访问工具返回内部错误
PROVINCIAL_CIVIL_SERVICE,新疆,新疆公务员考试官方来源档案,https://www.xjrsks.com.cn/,www.xjrsks.com.cn,ERROR,MANUAL_ONLY,访问工具返回内部错误
